cleaned_text,sentiment
ffffuuuu the dress i wanted to buy is sold out ,Negative
 on paper quotalmonds amp green teaquot seems like a healthy breakfastuntil you understand just how obscene the amount of almonds is ,Positive
is a very lucky girl ,Positive
ughh i do not know dnt knw what to do last time i followed my intuition and i was soo rite but a lil too late ,Negative
cannot sleep and do not know why ,Negative
2 sick could not sleep so no class today  i actually enjoy school so i am really bummed,Negative
first i got to set up some other anti spyware programs to give my dearest spybot some company ,Positive
sick today  and i have a lot to do at work ,Negative
nice you tweet from bergen norway kuwait city florence italy buenos aires argentina tokyo its like quottwitter colours of benettonquot ,Positive
great concert at the opera house yesterday evening looking forward to some outdoor climbing later ,Positive
today i will go to my flat in potsdam there is not much time left to prepare for tomorrow nice weather ,Positive
why are people to cruel and rude ,Negative
feels slightly ill guess i should not have eaten mc ds after all ,Negative
blooming great change of weather now i have a cold just my luck do not seem to be having much luck lately life sucks at the mo ,Negative
 i am going to the game tonight   will you be good to go in time for the 19th,Positive
 thanks  i could not have done it without you  ,Positive
 lmfao i do  ah lastnight was epic lt3 ,Positive
 please put the roh shows on your xbox 360 channel  i do not get your channel so i do not get to see roh  ,Negative
tuesday in the great metropolis of hanover what could be better ,Positive
i have to butting poop again ,Negative
 i miss you fool i will scrounge off my dad and we can go trafford centre when i get back ,Positive
good morning for a very rainy france  no gardening for me today,Negative
so its 1013 am here in good old germanyand i am tired as hell good morning amerika ,Positive
is back at work boooo for me ,Negative
just got back from starbucks tried the tea with lemonade very good  miss gg already 1st one,Positive
 the dvd is with me will bring when we meet next ,Positive
wow my x60s is dead ,Negative
 planning to do that too  while in transit anyway ,Positive
i got the ok to replace the carpet in my room with floorboards yay  i plan to buy them next week,Positive
  the puppy aka vader 70 some odd pounds of bouncyness ,Positive
nothing could be finercarolina 89  michigan state 72family weekend full success  ,Positive
cannot seem to shake the blues away ,Negative
got damnititchy watery runny eyes  leave me alone spring,Negative
 how is she doing on iti havnt spoken to her in ages ,Negative
 regan but it should be  we are alive in australia we is dedicated,Negative
filled in the application  see what happens  ww5thgradercomau via ,Positive
 tie bar  i missed it on wednesday ,Negative
nbcnews reporting pres chief econ guy  is loaded with wall street money 8mil from a hedgefund from banks that were bailed out ,Negative
21 days till chris comes home and 67 days till summer ,Positive
just woke up ,Positive
  edit  my mood ,Positive
back from a surprisingly quick 5 miler given the weekends excesses ,Positive
has realised that this time it might actually be final ,Negative
i hate windows movie maker  sony vegas come back i cannot download it anymore my brother banned me from downloading  ,Negative
my stress always culminates with physical pain  ,Negative
just got back to veteran from surakarta will be heading to pekalongan first thing in the morning tomorrow ,Positive
peters back from work ill ,Negative
is tired and has a headache ,Negative
i do not want to talk to advisors they do not advise the judge your arse off ,Negative
last night suckedthe tigers loss and msu lost  but atleast the red wings won,Negative
just got home from training  ate dinner  now have to complete an assignment ,Negative
sadly is going to bed ,Negative
  the face of defeat ,Negative
tuesday again i love tuesday gymnastics amp swimming tonight ,Positive
 excellent taste as ever and perfect context  i have never covered a cure song in public  but have the scorpions sick,Negative
i really hate how people diss my bands  trace is clearly not ugly,Negative
 eclipse is awesome  it is better than new moon,Positive
lunch breakgrilled chicken saladthank you jane ,Positive
good morning everyone got a package from granmalet us see what is inside ,Positive
just fired up the laptop to quotfailed to connect to servicesquot  same as last week looks like rolling back to vista till rc ,Negative
posting a new vid nothing to do with weight loss just felt like vlogging ,Positive
rehearsal makes my head hurt ,Negative
oh wow i love this souschef software from  ,Positive
 oh wow a little chubster  you cannot invite people to play uno on facebook at the moment ,Negative
asking for a little help  i am trying to earn my passion party consulting kit write me and i will give you all the details thank you,Positive
good morning all it takes iz 2 dots amp a line to make stuff adorabl  ,Positive
 hehe neither do i but in london it made far more sense than here  10000 users in london more social,Positive
 man i have my days like that toyou probably will be up all night though ,Negative
 oh no  is it the laundry powder maybe i am allergic to some and since jeans are usually so fitted it makes it worse,Negative
this trolley has up packed in like sardines padre game and they remove a car good call mts ,Negative
 thin end of wedge ,Negative
and as we turn and look to the future very interesting times ahead ,Positive
 you should read it again thenn it is really good  x,Positive
going to bed little early today whole half hour early lol ,Positive
for all those who asked her name is amma  like the indian spiritual leader,Positive
 nope   i am not a fan of the carrot cake  sorry ,Negative
 welcome to the jungle ,Positive
 we have very similar taste so of course i approve of yours as well ,Positive
 happy birthday hombre i celebrated mine with some athf ,Positive
 i love them too husband not so much therefore no chimes for me ,Negative
noo it is rainy ,Negative
 oh by the way amp i tried to go to that cuban buffet i told you aboutso excitedit is closed on mondays  sad story,Negative
 that is ok then  fuck everyone else  actually you were one i thought i had,Positive
is hoping that everyone can hang in there for one more day of cold  i see the light at the end of the tunnel ,Positive
 you forgot to put your clock back twitter says your midnight message wasan hour before midnight ,Positive
 i hate work have not done much today i am trying i have artists block cannot draw ,Negative
oh and thanks again to  and  for walking to my car and listening to the beatles with me  love you guys,Positive
ok everyone who is racing this weekend dm me with a picture of your car amp the make and model i will put it all up on my blog ,Positive
 i hope when you cover twitter you will do how the press are trying to hound celebs for their twitterings re amp  ,Positive
 hi your beta tester for  here ,Positive
my dislocated toe has decided to redislocate itself so now its reverse dislocated  and it hurts  ,Negative
 i like that quotation so true miss you housie hope you are doing well ,Positive
getting ready to go to meetingyeah ,Negative
good morning everyone ,Positive
home  i am sad to not be in mexico anymore,Negative
 i am still here  reading an article on a different siteseems a little dull on twitter tonight with no music ,Negative
  too bad it is true for the most part ,Positive
straightening my hair have to go to orthodontist ,Negative
afternoon all  its far too nice outside to be stuck in the office how is everyone,Positive
 i want to go to promote gear and groove but unfornately no ride there  i may b going to the one in anaheim in may though,Negative
back to work ,Negative
oh no how did i only just find this out  i am sad now ,Negative
alright fellow tweeters going to call it a night  just want to say i appreciate all of you and i am grateful for all you all  night,Positive
waking up late on my first my first day back  ,Negative
  well text me when you have it  weee,Negative
has woken up late and wasted some of the day ,Negative
   you and everybody else the hard part is getting someone to pay for the extra effort of not stuffing the gac  ,Negative
   this is awesome i love it especially the wordings awesome keep moving on ,Positive
 is now on twitter ,Positive
going to the dr with anthony todayi am sure the news will not be great   his icd has gone off numerous times,Negative
right laters everyone i am off for my next bowen treatment will be gone a few hours have a good morning ,Positive
 opps still unable to dm you at the moment  maybe twitter bugs after the maintenance,Negative
is gutted my mac myth lipstick broke after 1 use ,Negative
 i had no idea a four slice toaster was that much larger than a 3 slice toaster   frankly i need a 10 slice toaster,Positive
 holy shit there is no snow in richmondyet stupid weather ,Negative
 ha i have been planning my quotdramatic walkout speechquot it would be a tupac rap for sometime nowjust need another job first ,Negative
 you have not even sais hello to some of your older followers ,Negative
days are just hot enough to produce hot blood ,Positive
  i was not able to go to glorietta  is it a nice movie though oscarwin worthy,Negative
 i hope you get better soon  just make sure you have alot of fluids ,Negative
 i want to go but i am only 20 ,Negative
and now i am following her on twitter   ,Positive
home housework tackled now bed and zzzz ,Positive
unrelated i totally left my jacket at the bar last night ,Negative
trying desperately to find a particular fandom secret about gert yorkes but failing miserably ,Negative
i need to post a video  but i am stuck,Negative
 hahahashe did not computer said no  vodafonething did not work because i do not remember my password stupid,Negative
mandy moore quotcryquot    quota walk to rememberquot by far my favorite movie so sad i cried like a baby ,Negative
 um my kids get up at 5am amp need their breakfasts cooked you ready ,Positive
 i would always rather be drinking ,Positive
 the quottrashbinquot solution does not work the tweet is in the indexes and propagated even if it disappears from my personal list ,Negative
 hate to burst your bubble but tv guides matt roush says it is a disaster  i was looking fwd to it also ,Negative
nz the place to be miss my own bed a bit though ,Negative
w00t matt elliot third eye foundation playing grv tonight  early gig first act 815 curfew 1030 if anyone fancies,Positive
  that is a lot of people for sure,Positive
what the hell my phone has just stopped recognizing my sim card ,Negative
heading to altrincham again out of hours install ,Negative
omygosh  my lupus rash on my face is so awful this morning  i look like a monster ,Negative
morning famhope you all have a blessed and productive day ,Positive
 hey doing well  looking forward to meeting up with you and  in dc ,Positive
 on friday till monday so plan to do alot of relaxing on the beach ,Positive
just getting ready for work oh joy is me roll on holiday ,Positive
 indeed  i cannot wait to board,Positive
i have chorus today that makes me happy ,Positive
is going to get some cereallllllll  will be living off lucky charms next week woopwoop,Positive
 oh that is very sad poor boy ,Negative
watched  last night was brill but not as good as the book ,Negative
 would love to try trillian astra but it is a closed beta and they will not let me in ,Negative
is debating vietnam or the phillipines culture or the sun heat or more heat life is good ,Positive
is awake at a sensible time and is doing alot of coursework bohoo ,Negative
 hiya chutney mary that is a fine avatar ,Positive
  crikey check out the manfrotto worshipers ,Positive
 ohhh i love it ps i am sad we did not get to hang out ,Negative
 gmsq is closed due to operational issues with the franchisee we will have it up and running again as soon as we can ,Positive
going to meet my previous officemates for our usual fishballisaw foodtrip ,Positive
my mom might have breast cancer will not find out anything for like a week i am so worried ,Negative
worst dream ever and not my usual nightmare either the worst part is its probably going to come true ,Negative
  a food turing test  now that is idea for a sci fi short story  it will involve tea too of course amp infinite improvability,Positive
sucked in heather sewage bath xp and poor owen in the bear  total drama island,Negative
 when you know the twitterworld you will stick to it ,Positive
 heh yeah  but atleast it is in widescreen ,Positive
is still tireddespite her 6 hours last night  x,Positive
 sorry to hear it reivanna  chronic ones i assume,Negative
wonders why i always do not have a signal i am using globe  ,Negative
 re the fiance of princess um does not that make his defacto nickname prince ,Positive
i do not want to go to schooooooool ,Negative
  greetings jason  so far twitters great today thanks for taking a moment for us    enjoy your swim  hugs angel,Positive
 ay talaga how has she been i miss her ,Negative
i am going to get up late tomorrow and it is 132am here i going to get tipsy by my lonesome that isthat is just sad ,Negative
 ah man so sad his cousin committed suicide yest and she was 8 months pregnant   can you imagine we been crying non stop ,Negative
when am i going to finally be not sick ,Negative
 euwww i am so ugly in the picture ,Negative
so coffee was kind of a let down but perhaps my weekend will be more exciting ,Positive
youtube is down i feel like something is missing from my possession ,Negative
frankfurt three times but i do not understand it ,Negative
 i miss my buddy  ill be in ny on the 25th,Negative
i got a cut in my mouth in the back i cannot even eat  b,Negative
 business nd chemistry ,Negative
i though groups of google apps were something like google groups groupsgooglecom ,Negative
stupid cocking megavideo  wish wixi was not down today ,Negative
i want to invite my parents to my homebut my wife do not agree with me  ,Negative
 yes i often take the risk of running down the dlr steps but today i just missed that last step and twisted my ankle ,Negative
i ate so many cookies that i think i am hallucinating ,Negative
just got home from work    heyyyy how was the phoro studio thinggy you coming to school tomorrow,Positive
ugh  i wish someone would make a da script to make it easier to remove people from your devwatch   what a ballache,Negative
studying pediatrics and listening to nkotb as always the kids are pissed cuz they are trying to watch the disney channel ,Positive
 negative you lost my vote of confidence ,Negative
slowly dying of boredom also freezing cold yaaay ,Negative
 am sorry to say but it is still in the air ,Negative
just woke upits cloudy in the virgin islands  only two more days here til i have to go back to seattle,Negative
 congratulations  i am almost there too ,Positive
is so happy 2 too home ,Positive
 lol freak session wit ya wifey eh hah ,Positive
at tc beach onlinekuantanmalaysiamacdonalds just register twitter  hello all the twitters  ,Positive
 me  jealous wish i was at home ,Negative
 have a great day back at ya ,Positive
i went to get a coffee but the kids got to the milk before i did now i have a can of coke instead ,Negative
 any chance of you coming to australia  i am going to see passion this coming monday cannot wait ,Positive
 yes i have noticed that i like my 8am tweets  nice amp easy,Positive
attack of the hayfever noooo ,Negative
 i know weathers supposed to be crap though ,Negative
maybe if i jus listen to hawaiian music everyday my life will be more relaxing haha no via worked for me ,Positive
my heart is abused with so many hurtful lies and truths i hate being sappy about these kind of things i hate it ,Negative
 i think  lost the net  sure hope not,Negative
hallo tweetfriendsits now in germany 1108 in the morning ,Positive
 at all the shows i have seen you have seemed relaxed on right on point  in regards to iowa you are always great jon,Positive
 amen brotha take it easy dude and do not use any device which has an ipaddress ,Positive
 hi  just got back home from work i am about to have lunch and no i am not a vegan sleep tight xxx,Positive
 lol i know ,Negative
is off to london today swiss cottage to be precise  x,Positive
i feel soooo bad for my doglet  she is not understanding why her mouth is so sore  poor little thing ,Negative
   so another person with twitterthumbitis eh med bills must be huge ,Positive
it would be nice if a bunch of people just died right now  would not it and supper,Positive
i stupidly put my teddy bear that my grandparents gave me when i was 2 into storage when the house forclosed dad rescued the bear 2day ,Positive
got a crush ,Positive
 so you can talk to all you are friends ,Positive
the brides father just gave me amp my phone an evilunfollow look  have to hide phone for few minutes after this update ,Negative
hates the waiting game she hates uncertainties too ,Negative
 you a lost because girl  ,Negative
hey try this sum me up in 5 words  please n thank you xx,Positive
just woke up from my nap dammit got a runny nose going this weather is killing me ,Negative
twitter on the crackberry still a nogo ,Negative
 he is an ass    hm   did you watch the first episodeee i freakin missed it ,Negative
watchin greek then off to knighty knight ,Positive
 i am a late bird  mariusz  you from poland past noon here  still morning for me ,Positive
 does not work for those from outside usa or at least for europel  hope it is good,Negative
 sounds like sledgehammer approach to management sympathy ,Negative
i am in a confused state whether to implement a tab interface in the application currently i am working in ,Negative
 well i like the america ferrera onebut that is it ,Positive
so failing 2 outta 5 classes are not too bad ,Negative
is twittering at uni ,Positive
 have you been overdoing the william gibson novels ,Positive
 i messed up my quotvictoryquot copy with a glass of coke  can you send my another one kit,Negative
 i am sick face too ,Negative
check out my blog live videos the day has come  we got the live videos back from da ,Positive
 you have come to the right place i own an office interiors company  how big would you like your desk,Positive
just got home from watching michigan state get tromped   ,Negative
afycso listening hour need patd love  the moons pretty tonight,Positive
waiting for the clock to turn 5 so i can go home ,Positive
really need to be getting work done but twitter is more entertaining right now ,Negative
i think its dead ,Negative
i am miserablely sick ,Negative
 awesome  hope it was great i am about 2 hours away from seeing it at the sydney now second world viewing premiere ,Positive
 sorry about that ,Negative
ughh my eyes are hurting like hell right now got to shut it for a while ,Positive
 thanks for singing to me  last night you are a rock star in my book ,Positive
joey uh oh cs4 said quotexcuse the interruption but just what the hell do you think you are doingquot paraphrased oopsie  keygenkeyg,Positive
i am sorry to hear about your grandma   anything i can do for you,Negative
 hehehe i loooove doctor who  watching it always makes me feel better  xx,Positive
 hello back at ya  and thank you,Positive
 swing thru htwn amp get me 1st ,Positive
is frustrated that rudd cannot facilitate private enterprise investing in our broadband infrastructureinstead he needs to waste our money ,Negative
free indie label sampler records at amazon  you got to be kidding me  ,Positive
 it is the same here in new zealand too looking forward to them starting again already have a great night ,Positive
a mann i need followers i am a loser ,Negative
sad that the time shift means it is dark when we go home ,Negative
cannot get onto my computer got to wait for slow ass it to get up here ,Negative
getting ready for a customer demo everyone is stress level are high ,Positive
 hope fishy is ok ,Positive
up and running london calling ,Positive
 aww  well i thought it was a fun website anyway do not be lonely,Negative
 it is all in good fun we know you do not want to kiss a girl ,Positive
whinging my clientampboss do not understand english well rewrote some text unreadable it is written by v good writerampreviewed correctly ,Negative
well my foot odor problem is def back  hmph ,Negative
where is my mail ,Negative
 have fun at the studio paula i am really excited about you are album it was so awesome to watch you perform on superbowl before ,Positive
 man  you need to get back on the horse ,Positive
cannot sleep again ,Negative
 i know my friend told me about this rather cool thoughtful and a very fun idea ,Positive
saw the most awsome sunrise this morning pinks and oranges over the yellows and purples of the gardens   amazingness  ,Positive
i m la boheme nsfw hey guys spread the word the green party is in town  i hey guy ,Positive
omg stephen fry is back in england i am in the same counrty as stephen fry this is making me a little too excited for it to be healthy ,Positive
just got up i have to watch my lil bros  mom is at work ,Negative
feeling doubly guilty for eating a tube of fruit pastilles ,Negative
 that is what you get for being you ,Positive
finally got some sleep last night ,Positive
 man i am sorry to hear about that ,Negative
only two office based days till bank holiday bring on the four day weekend ,Positive
stuck in college again ,Negative
txtchat with jake lmfao its frikkin awesome i miss this effin boy so much  a hoping you guys would come back here na  xxxx,Negative
 believe me it is the only way to get it finnished ,Positive
got hardly any sleep and missed all my errands this morning ,Negative
 lifes to short to scoble it did you read gillmor article re friendfeed 15 journalists technologists and robert scoble ,Positive
at wye river it is really cold this internet is really expensive ,Negative
 it is take me to the river from sydenee ,Positive
 i know  but at least dollhouse has gotten good,Negative
i miss  so bad hope she will be home soon ,Negative
 thank you sweetheart stuff quietened down a little by now and i have good after work plans ,Positive
ok  so  what can i do on a saturday night in vienna  please tell me  i will really apreciate suggestions  meanwhile my ipod,Positive
begining my ten page paper for media law this weekend after work  blah getting advertising quotes for the paseo art festival tshirts,Negative
blue cheese is bitch whenever i start to crave cheese i know my weight is in upswing ,Negative
wishing it was not 245 in the morning  sleeping is awesome work is not and i need to scrub my apt,Negative
proud future member of the rb ,Positive
oooooh it feels good outside kind of chilliso grab a jacket ,Positive
while i do enjoy my job very much its always nicest outside when i am indoors ,Negative
stooopppiddd abbey national i need to get dosh out and its blooming shut ,Negative
 blech it oozes out to make its own pyramid  ,Negative
 twitterfon is great but it converts smileys  into pictures what looks like very bad taste to me,Positive
hmmmmm yes that would be a good thing do you think i can sweet talk them  i have a gift,Positive
coffee and in less than 24h back on the plane ,Positive
almost 11  i wonder what frank has as a suprise for us ,Positive
 aww well wer behind ya  all our support  but mother nature is kind to us today we hav a 10pack guy wit us mmmmm  xxx,Positive
 two mules cannot make a race horse interesting but i have read that mules are smarter than horses amp do more work ,Positive
doing her english courseworkher fingers ache ,Negative
misses my student days those days of sitting with a book n not getting up until it was over ,Negative
 i know one of my favorites so a movie  awesome  and yes loved the songs been listening to them on my iphone a lot ,Positive
  going to go now girls good night for you both ,Positive
 please i need someone to go to it with me ,Negative
 hope you all have fun without me tomorrow i am so jealous and mad i cannot go ,Negative
9 weeks till le mans  so near yet so far ,Positive
 mitchell james is my uncle kappa man who passed 4 yrs ago the kappas named a scholarship after him miss my superman ,Negative
actually it is not really a secret link ,Positive
just leavin work my feet hurt ,Negative
just typed up massive trench warfare plans for the defense of the papal states in 1983 lt3 forumbased geopolitical wargames ,Positive
 hope i am feeling better by thursday will be seriously annoyed if i am ill over lan ,Negative
going for a fourmile night runaround the old b52 bomber on andersen  got to tape my ankles,Positive
  since you are british and you drink alot of teawhat is you favorite one dougie  ,Positive
going back to straighten my hair  download some nds roms first though,Positive
i am scared to go outsideits cold today too bad i already put away all my winter clothes ,Negative
time to get ready for work ,Positive
 haha yes it would be cool but i am pretty sure my cookies do not know anything about political bias in cable news ,Positive
congratulations takamasu ishihara aka miyavi ,Positive
90pm so i asked my teacher if i had to speak about my project and she said noo i am so happy i might have spewed up ,Negative
an opportunity has been given all i can do i wait and see what happens but from past experiences it is not looking good ,Negative
my back hurts argh i miss my bloke ,Negative
 that is one amusing place name we got your postcard today thanks 2 sleeps until i fly ,Positive
 weather is never boring in canada eh ,Positive
just booked a dentist appointment what joy ,Negative
 i love you willie ,Positive
 took a quick look but want to take some time will do so this wend thank you 4 sharing yr work  xo dea,Positive
me gots the giggles i am in a funny mood this avvo everyone send  good luck messages he sits his driving test today eek ,Positive
nothing better than accidentally waking erika up to the sound of bens voice ,Positive
you guys really need to have another concert in toronto for the day before or the day after like honestly who wants to sit far back ,Negative
i hate  dual carriageway roundabouts so much ,Negative
 do not hurt or hate me i mayyyyy have lost my ring ,Negative
not goodmunchkinster is not feeling well ,Negative
is not exciting about coming down with the flui had just spent three weeks in bed sickdo not want to waste more time sick in bed ,Negative
i hope not all is lost sigh ,Negative
searching for a job in berlin in summer timedo not speak german ,Negative
 you are welcome for krod   ,Positive
 thatwas beautiful please madamgive us some more ,Positive
just working again we going to digitalhero some ship today ,Positive
 hmm slightly different scenarios methinks ,Positive
 yeah lots of potential i think they have been working on their own iphone app for months now  how are you mate been a while,Positive
not happy with the snow today ,Negative
 i can help with david lloyd if you need help convincing ,Positive
 wow my ninja at least you will be ready for worship leader school after chaha  pastor francis rrrrrrrrigor,Positive
  that is cool if you could input commets on the forumit would be nice ,Positive
blackberry bold and kingston 8gb microsd card en route ,Positive
 dudethat is like the same for me i think we have xserves as well but no macs ,Negative
 not that i know of am listening to him now ,Positive
 many thanks for the mention of podcasters emporium ,Positive
hello everyone i m new on twitter posting my first post here ,Positive
i want it to be sunday right now ,Negative
car broke down ,Negative
 i love uni coffee bet you will not get this one ilpc oh ps uni tomorrow pick you up at 1252 ps 1000 word assignment  arg,Negative
just installed facebook and twitterific apps to ipod i am excited these are neat ,Positive
 you should come over to my place for drinks just kidding i am not 21 ,Negative
is looking forward to an enjoyable evening ,Positive
interpretorsounds cool  but i am soo sleepy xd,Positive
at work  plus i am sick blah,Negative
 you were amazing saw you in portsmouth on sunday central front row too  sad times some1 stole my pursethe gits  xxx,Positive
 yes i am  and you all have a good day as well smiles,Negative
drinking orange juice eating viscount ,Positive
 curse ye have fun at it i miss doing online pr for paramount pics ,Negative
 jogging while talking about ruby the new frontier of fitness for the ruby hacker  seems cool anyway,Positive
quotpackquot the duckling found safe but his webbed feet have been cut and a new one will still have to be made  ,Negative
my toes are cold ,Negative
 i missed it  do you know if there is a link to watch and thanks,Negative
 oooooh i love it sorry i cannot help  if you cannot find it i probably will not be able to find it because well you know,Negative
feel like i am stuck in a rut waiting to hear back from schools is killing me  also decided to take a break from  for awhile,Negative
 i know i apologized to her ,Positive
 alternatively a trip to antartica a little less practical though considering this is just a beer we are talking about ,Positive
i left my ids at the location and now i can not go out to bars  fuckkkkkkkkkkkkk,Negative
 cake requests anything but coffee  i will bring the palets and you can choose,Positive
 got a lot to do today will try to squeeze in some painting too ,Positive
 guess where i live the other side of the earth  east mesa losiento,Positive
long day aheadweening off caffeine ,Negative
cannot be arsed getting dressed so think i will stay in my towel and pay my council tax online ,Positive
 ohh sarcasm i am proud  for a min there i was worried and no its not bad she likes rupert not an australian guy,Positive
all my tweets are already gone are not they  missed you guys tonight,Negative
 i would love to come help unpack   let me know where i need to be sat afternoon,Positive
 ou are on a role hahaha i attacked joey ,Positive
gawd in so out of it presentations for my eng class so freakin scary i did not even finish it i kno i am a bad person ,Negative
nothing was sprained thank god lol but i hat to get an vaccination  i hate it lol,Negative
 mz lexi how is my fave publicist doin ,Positive
  i miss this is ,Negative
no hunny there are no vampires  just bloodsucking salespeople that steal daddys money  day 1 as a lycan,Positive
 ah very cool i very much want to go but never seem to have the money during ticket buying season should be awesome ,Positive
 thanks for link will it scare me or make me want a tongue piercing ,Positive
can anyone recommend an air filter for cigarette smoke  neighbors smoke heavily amp my sons asthma has gotten worse  needs steroids now ,Negative
 me too  that is y i still have weird pic as my default lol,Negative
new gavin music  pure bliss 0 okay time for bed good night ,Positive
 welcome have a nice tweday ,Positive
 i do not have any money but i can offer you some lunch if you like pesto pasta and chicken  worth more than a desk anytime,Positive
 just kidding man rim does not even have a sync client for linux and the opensync package sucks  at least it can charge lolz,Negative
  who should i contact if i need a 1099 for freelance work i did on linuxcom throughout 2008 never got one ,Negative
 hey  what is up i am at grand central in ny  omg i cannot believe it yet p yay xoxo,Positive
i am officially going to bed goodnight ,Positive
has to wait a week to find out if her writing is any good  sucks,Negative
trying to knock together a coredata app i have loads of ideas but not enough ability to write them straight off ,Negative
emily will be glad when mommy is done training at her new job she misses her  ,Negative
stupid nasty cold weather i want spring to stay already  meetings and kiddos all day ,Positive
wow over 100 followers thanks for following everyone ,Positive
where did spring go ,Negative
version near where i live ,Negative
 no ice cream here ,Negative
 oh make it no be true sorry beanie hope you feel better ,Positive
 i like the picture ,Positive
just back from trip to kyiv a little freaked out ,Positive
tried to get up earlier todaydid not work out ,Negative
 beautiful earrings very gentle ,Positive
if you feel offensed by dumbass marketing on twitter too gt  my ass ,Positive
  its just a saying got tons of work to do and i will kick start it with a very strong coffee  he he not sure about twitt,Positive
 i do not know what my gym even looks like anymore that is how long it is been since i have gone ,Negative
 sounded to me like you have a good understanding which is why i was drawn to your tweet originally ,Positive
 which msi show i am seeing them in brisbane on 12 april ,Positive
has a really bad headacheor should say a neck achegahh and i am nauseated this sucks ,Negative
 so tom you already have a team in twilight edward or jacob please tell edward vampires always do it better ,Positive
totally craving chocolate and starbucksonly 4 days left ,Positive
also too much candied ginger agh it was supposed to be for curing motion sickness on the bus boo ,Negative
 unfortunately not  featured seller status offers preferred placement as a user and with all uploads,Negative
agghhh phillies  its because i did not have my lucky towel,Negative
 hmmm well good luck with that  ,Negative
why must i be awake at this untimely hour ,Negative
cannot get twitterberry to work ,Negative
pray for collin he just had a stroke i hope he is going to be okay  ,Negative
 i would love to be a stayathome mom  right now i work outside the home   thanks for checking it out,Negative
did not know until about 2 hours ago that my sister is leaving tonight and not in 3 days that was a quick goodbye ,Negative
of course he makes me feel better ,Positive
prays for his new job career    praise god i got a new job  ,Positive
 if you have any questions about journalism do not hesitate   good luck with everything,Positive
i am glad that i made the right decision ,Positive
 you are welcome  i have also blogged on tracked tweets,Positive
the sun is shining and soon ill be off to karros with negar  so much funness,Positive
 i am the worst i know  but i will be back soon,Negative
listening to elvis costellos 1980 album armed forces this morning forgot how good it was ,Positive
i feel bad  amy was stretched out sleeping but i had to kick her out the room for the night,Negative
 they do not do them in my size  how r you,Positive
is about to enjoy another german beer and his 5th ice cream sundae in 5 days ,Positive
feels pity for two students molested by a their own teacher   annoyed good evening guys  ,Positive
anyone who reads this pray for my grandma she is in pain ,Negative
i broke mtwittercom too  ,Negative
 so its fork terror not sppoooonnnn terrroorr ,Positive
 legitimately good cops out there ,Negative
 facebook is such a trip that is funny did you accept her friend request ,Positive
 oh good  then i have more of those nights to look forward to ,Positive
 sunny and windy here now the rain did not last long ,Negative
 check out  for the  series if you are interested he talks about going past the elevator ,Positive
at kayleighs service tomorrow ugh text me in the morning i miss my bestfrannnnnnnn lt3 ,Negative
getting ready to go out for dinner with the family to celebrate a most important daymy birthday ,Positive
 i know exactly how you feel ,Negative
having a nice cup of newly brewed serena coffee ,Positive
spencer is not a good guy ,Negative
back after spending a couple of days with my sis and her family it is now raining  should be doing something about the ironing,Negative
i am not happy i woke up at 530am this morning and did not get to sleep again till 645am  ,Negative
 not an option ,Negative
dear atampt  get your act together with the coachella webcast  i missed the hold steady end    ,Negative
and like that she was gone but at least her hair is natural brown again ,Positive
at work macbook connected to the company network then back in to the home network happy man ,Positive
 get well mr ace producerdirector   could you send some juice my way tomorrow night at 10pm on itv2 please,Positive
 sorry to hear that sweetie ,Negative
 aww  poor you we can be in pain together ,Negative
 you are one letter alway    koreans do not use quotxquot so there is no hope for me ,Positive
just added tweetie to my new iphone ,Positive
needs a mouse looks like my lappys touch pad is giving up na  ,Negative
journalist throws shoe at chidambaram  ,Negative
 thanks for your response ihad already find this answer ,Positive
  it is such a good movie yeahh always makes me feel so much happier dot dot dot,Positive
 we are all grateful for the beautiful music you share and dedication you give to us thank you  you are amazing ,Positive
my baby brought me a present today a dismembered mouse ,Negative
 probably easier if you ping me on i amphone that is a little complicated to explain over twitter ideally beer would be good ,Positive
  like the dress i cannot wait to see how amazing you look in it ,Positive
 i wish  for now i will read it the way jane austen wanted her zombie tale read good ole ink and paper,Negative
 i have just started climbing againhave not done a dorset trip for yrs to be honestwe are all to busy ,Negative
sweet 5 jobs applied for 3 agencies applied to sadly there is nothing new on the job boards at bunac though ,Negative
i love this band  great version of the bee gees classic   ,Positive
enjoying martin dougiamas keynote of moodle moot uk 09  quotwho here is tweeting at the momentquot ,Positive
off to geology class  super tired,Negative
taking a bit of a holiday from everything today ie being really really lazy ,Positive
 the conbrainer storecould that be the title of your next album please ,Positive
shoot for the moon even if you miss you will land among the stars ,Positive
smile like you mean it wow this song brings back memories still cannot sleep ,Negative
 first impressions are good actually like the design a happysummer feeling ,Positive
there is more security here than at sydney airport and no spirits at the bar  ,Negative
spent 1 day doing research  i am feeling great  an achievement d,Positive
 i did send your the toon but i do sleep ya know ,Positive
time to move my posterior  and lose some fat my articulation are creaking so no more running  but im drool for some swimming,Negative
still in office  what has become of me,Negative
sitting at home watching jeremy kyle and bored ,Negative
eating my sisters biscuits  lol,Positive
 and my broinlaw obviously ,Positive
i plan on watching the fast and the furious later but now i should really do some work ,Negative
 its very tough is not it i am virtually picking people up and shaking them to get every penny out v stressful ,Negative
wondering why we have snow in the springtime    chillin inside 2 day,Negative
 enjoy stephen and hope you feel refreshed and happy ,Positive
